image,supplied_split,similarity_aware_split,changed_split
0003730.jpg,train,train,False
0003759.jpg,train,train,False
0004469.jpg,train,train,False
0004990.jpg,train,train,False
0006194.jpg,train,train,False
0012810.jpg,train,train,False
0014089.jpg,val,val,False
0019339.jpg,train,train,False
00320.jpg,train,train,False
0032075.jpg,val,val,False
0032155.jpg,train,train,False
0032227.jpg,train,train,False
0032228.jpg,train,train,False
0032238.jpg,train,train,False
0032281.jpg,train,train,False
0032310.jpg,train,train,False
0032400.jpg,train,train,False
0032405.jpg,train,train,False
0032448.jpg,val,val,False
0032449.jpg,train,train,False
0033428.jpg,train,train,False
0033451.jpg,train,train,False
0033923.jpg,train,train,False
0034009.jpg,train,train,False
0034010.jpg,train,train,False
0034013.jpg,val,val,False
0034016.jpg,train,train,False
0034036.jpg,val,val,False
0034249.jpg,train,train,False
0034707.jpg,train,train,False
0034968.jpg,train,train,False
0035494.jpg,train,train,False
0035627.jpg,train,train,False
0035688.jpg,train,train,False
0035753.jpg,train,train,False
0044633.jpg,val,val,False
0045294.jpg,train,train,False
0045377.jpg,train,train,False
0045405.jpg,train,train,False
0045406.jpg,train,train,False
0045407.jpg,train,train,False
0045408.jpg,train,train,False
0045409.jpg,val,val,False
0046436.jpg,val,val,False
0047038.jpg,train,train,False
0047039.jpg,train,train,False
0048857.jpg,val,val,False
0048861.jpg,train,train,False
0048868.jpg,train,train,False
0048879.jpg,train,train,False
0048890.jpg,train,train,False
0058262.jpg,train,train,False
0058289.jpg,train,train,False
0058315.jpg,val,val,False
0058344.jpg,train,train,False
0058380.jpg,train,train,False
0058408.jpg,train,train,False
0058474.jpg,train,train,False
0058562.jpg,val,val,False
0058566.jpg,train,train,False
0059117.jpg,train,train,False
0059118.jpg,train,train,False
0059120.jpg,train,train,False
0059170.jpg,train,train,False
0061865.jpg,train,train,False
0061874.jpg,train,train,False
0061883.jpg,train,train,False
0061887.jpg,train,train,False
0061915.jpg,train,train,False
0061926.jpg,train,train,False
0061937.jpg,train,train,False
0061950.jpg,train,train,False
0061952.jpg,train,train,False
0061956.jpg,train,train,False
0061960.jpg,train,train,False
0061968.jpg,train,train,False
0061969.jpg,train,train,False
0061973.jpg,train,train,False
0061974.jpg,train,train,False
0061978.jpg,train,train,False
0062767.jpg,train,train,False
0062990.jpg,train,train,False
0062992.jpg,train,train,False
0063003.jpg,train,train,False
0063004.jpg,val,val,False
0063006.jpg,train,train,False
0063011.jpg,val,val,False
0063013.jpg,train,train,False
0063016.jpg,train,train,False
0063019.jpg,train,train,False
0063022.jpg,val,val,False
0063023.jpg,train,train,False
0063024.jpg,train,train,False
0063028.jpg,train,train,False
0063029.jpg,train,train,False
0063030.jpg,train,train,False
0063032.jpg,val,val,False
0063052.jpg,train,train,False
0063056.jpg,train,train,False
0063058.jpg,train,train,False
0063114.jpg,val,val,False
0063118.jpg,train,train,False
0063119.jpg,train,train,False
0063146.jpg,train,train,False
0063148.jpg,train,train,False
0063151.jpg,train,train,False
0063156.jpg,val,val,False
0063158.jpg,train,train,False
0063169.jpg,train,train,False
0063189.jpg,train,train,False
0063191.jpg,train,train,False
0063203.jpg,train,train,False
0063257.jpg,train,train,False
0063261.jpg,train,train,False
0063306.jpg,train,train,False
0063328.jpg,train,train,False
0063662.jpg,train,train,False
0063678.jpg,val,val,False
0063971.jpg,train,train,False
0063996.jpg,train,train,False
0064404.jpg,train,train,False
0064449.jpg,train,train,False
0065294.jpg,train,train,False
0065372.jpg,train,train,False
0065376.jpg,train,train,False
0065386.jpg,val,val,False
0065417.jpg,val,val,False
0065424.jpg,train,train,False
0065573.jpg,val,val,False
0065596.jpg,train,train,False
0065597.jpg,train,train,False
0065731.jpg,train,train,False
0065736.jpg,val,val,False
0065744.jpg,val,val,False
0065893.jpg,train,train,False
0065899.jpg,train,train,False
0065901.jpg,train,train,False
0065902.jpg,train,train,False
0065912.jpg,train,train,False
0065939.jpg,train,train,False
0065943.jpg,train,train,False
0065947.jpg,train,train,False
0065955.jpg,train,train,False
0065962.jpg,train,train,False
0065964.jpg,train,train,False
0065965.jpg,train,train,False
0065977.jpg,train,train,False
0065997.jpg,train,train,False
0065998.jpg,train,train,False
0066000.jpg,train,train,False
0066025.jpg,train,train,False
0066046.jpg,val,val,False
0066048.jpg,val,val,False
0066079.jpg,val,val,False
0066080.jpg,train,train,False
0066114.jpg,train,train,False
0066130.jpg,train,train,False
0066156.jpg,train,train,False
0066157.jpg,val,val,False
0066263.jpg,train,train,False
0066267.jpg,train,train,False
0066268.jpg,train,train,False
0066274.jpg,train,train,False
0066276.jpg,train,train,False
0066287.jpg,train,train,False
0066302.jpg,train,train,False
0066303.jpg,val,val,False
00664.jpg,train,train,False
0066415.jpg,train,train,False
0066447.jpg,train,train,False
0066480.jpg,train,train,False
0066490.jpg,train,train,False
0066796.jpg,train,train,False
0067073.jpg,train,train,False
0067280.jpg,train,train,False
0067294.jpg,train,train,False
0067297.jpg,train,train,False
0067300.jpg,train,train,False
0067308.jpg,train,train,False
0067315.jpg,train,train,False
0067329.jpg,train,train,False
0067335.jpg,train,train,False
0067337.jpg,train,train,False
0067341.jpg,train,train,False
0067347.jpg,train,train,False
0067511.jpg,train,train,False
0067549.jpg,train,train,False
0067555.jpg,train,train,False
0067594.jpg,val,val,False
0067625.jpg,train,train,False
0067864.jpg,train,train,False
0067885.jpg,train,train,False
0067892.jpg,train,train,False
0067906.jpg,train,train,False
0067918.jpg,train,train,False
0067928.jpg,train,train,False
0067965.jpg,train,train,False
0067967.jpg,train,train,False
0067978.jpg,train,train,False
0067993.jpg,train,train,False
0067994.jpg,val,val,False
0067995.jpg,train,train,False
0067999.jpg,train,train,False
0068026.jpg,train,train,False
0068040.jpg,train,train,False
0068045.jpg,train,train,False
0068053.jpg,train,train,False
0068055.jpg,val,val,False
0068064.jpg,train,train,False
0068066.jpg,train,train,False
0068071.jpg,train,train,False
0068072.jpg,train,train,False
0068075.jpg,train,train,False
0068080.jpg,train,train,False
0068090.jpg,train,train,False
0068096.jpg,train,train,False
0068099.jpg,train,train,False
0068108.jpg,train,train,False
0068134.jpg,train,train,False
0068135.jpg,train,train,False
0068161.jpg,train,train,False
0068163.jpg,train,train,False
0068168.jpg,train,train,False
0068177.jpg,train,train,False
0068185.jpg,val,val,False
0068186.jpg,train,train,False
0068193.jpg,train,train,False
0068353.jpg,train,train,False
0068484.jpg,val,val,False
0068728.jpg,train,train,False
0069034.jpg,train,train,False
0069038.jpg,val,val,False
0069055.jpg,train,train,False
0069056.jpg,train,train,False
0069057.jpg,train,train,False
0069251.jpg,train,train,False
0069257.jpg,train,train,False
0069274.jpg,train,train,False
0069304.jpg,train,train,False
0069320.jpg,train,train,False
0069350.jpg,train,train,False
0069367.jpg,val,val,False
0069368.jpg,train,train,False
0069369.jpg,val,val,False
0069389.jpg,train,train,False
0069396.jpg,train,train,False
0069406.jpg,train,train,False
0069420.jpg,train,train,False
0069423.jpg,train,train,False
0069436.jpg,train,train,False
0069478.jpg,train,train,False
0069482.jpg,val,val,False
0069483.jpg,train,train,False
0069485.jpg,train,train,False
0069488.jpg,train,train,False
0069490.jpg,train,train,False
0069491.jpg,train,train,False
0069493.jpg,train,train,False
0069497.jpg,val,val,False
0070005.jpg,train,train,False
0070095.jpg,train,train,False
0070172.jpg,train,train,False
0070347.jpg,train,train,False
0070379.jpg,train,train,False
0071264.jpg,train,train,False
0071385.jpg,train,train,False
0071592.jpg,val,val,False
0071595.jpg,train,train,False
0071606.jpg,train,train,False
0072359.jpg,val,val,False
0072417.jpg,train,train,False
0072520.jpg,train,train,False
0072616.jpg,val,val,False
0073409.jpg,train,train,False
