experiment_id,seed_label,seed_value,split,output_dir,best_checkpoint,metric_selection,status,detail,git_commit,best_epoch,precision,recall,mAP@0.50,mAP@0.50:0.95
rq1_supplied_seed_24209199,24209199,24209199,supplied,runs/rq1/supplied/seed_24209199,runs/rq1/supplied/seed_24209199/weights/best.pt,highest logged mAP50-95; first epoch on a CSV tie,completed,Verified completion,05f467b8292bcb8ef852993fbdd615244bfbd872,76,0.81872,0.79505,0.84516,0.50529
rq1_similarity_aware_seed_24209199,24209199,24209199,similarity_aware,runs/rq1/similarity_aware/seed_24209199,runs/rq1/similarity_aware/seed_24209199/weights/best.pt,highest logged mAP50-95; first epoch on a CSV tie,completed,Verified completion,05f467b8292bcb8ef852993fbdd615244bfbd872,81,0.81953,0.80172,0.84864,0.50841
rq1_supplied_seed_20260902,20260902,20260902,supplied,runs/rq1/supplied/seed_20260902,runs/rq1/supplied/seed_20260902/weights/best.pt,highest logged mAP50-95; first epoch on a CSV tie,completed,Verified completion,05f467b8292bcb8ef852993fbdd615244bfbd872,76,0.80691,0.79814,0.84722,0.50594
rq1_similarity_aware_seed_20260902,20260902,20260902,similarity_aware,runs/rq1/similarity_aware/seed_20260902,runs/rq1/similarity_aware/seed_20260902/weights/best.pt,highest logged mAP50-95; first epoch on a CSV tie,completed,Verified completion,05f467b8292bcb8ef852993fbdd615244bfbd872,92,0.83466,0.79892,0.84591,0.50473
rq1_supplied_seed_02092026,02092026,2092026,supplied,runs/rq1/supplied/seed_02092026,runs/rq1/supplied/seed_02092026/weights/best.pt,highest logged mAP50-95; first epoch on a CSV tie,completed,Verified completion,05f467b8292bcb8ef852993fbdd615244bfbd872,83,0.82154,0.80687,0.84843,0.50641
rq1_similarity_aware_seed_02092026,02092026,2092026,similarity_aware,runs/rq1/similarity_aware/seed_02092026,runs/rq1/similarity_aware/seed_02092026/weights/best.pt,highest logged mAP50-95; first epoch on a CSV tie,completed,Verified completion,05f467b8292bcb8ef852993fbdd615244bfbd872,82,0.82281,0.80696,0.84653,0.50662
rq1_supplied_seed_12345678,12345678,12345678,supplied,runs/rq1/supplied/seed_12345678,runs/rq1/supplied/seed_12345678/weights/best.pt,highest logged mAP50-95; first epoch on a CSV tie,completed,Verified completion,05f467b8292bcb8ef852993fbdd615244bfbd872,62,0.81243,0.80433,0.84874,0.50421
rq1_similarity_aware_seed_12345678,12345678,12345678,similarity_aware,runs/rq1/similarity_aware/seed_12345678,runs/rq1/similarity_aware/seed_12345678/weights/best.pt,highest logged mAP50-95; first epoch on a CSV tie,completed,Verified completion,05f467b8292bcb8ef852993fbdd615244bfbd872,71,0.82978,0.7894,0.84999,0.50605
rq1_supplied_seed_20202027,20202027,20202027,supplied,runs/rq1/supplied/seed_20202027,runs/rq1/supplied/seed_20202027/weights/best.pt,highest logged mAP50-95; first epoch on a CSV tie,completed,Verified completion,05f467b8292bcb8ef852993fbdd615244bfbd872,72,0.81183,0.80086,0.84496,0.50407
rq1_similarity_aware_seed_20202027,20202027,20202027,similarity_aware,runs/rq1/similarity_aware/seed_20202027,runs/rq1/similarity_aware/seed_20202027/weights/best.pt,highest logged mAP50-95; first epoch on a CSV tie,completed,Verified completion,05f467b8292bcb8ef852993fbdd615244bfbd872,63,0.82429,0.78344,0.84298,0.50308
