epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,67.1193,1.74371,3.532,1.4637,0.34265,0.38811,0.32108,0.16739,1.74359,2.97072,1.41493,0.00996109,0.00332036,0.00996109,0.00332036,0.00996109,0.00332036,0.00996109,0.00332036
2,145.836,1.62718,2.23304,1.36068,0.4918,0.49941,0.47664,0.23605,1.70406,2.18125,1.42902,0.0197635,0.00658782,0.0197635,0.00658782,0.0197635,0.00658782,0.0197635,0.00658782
3,224.888,1.67755,1.97424,1.39205,0.45005,0.36569,0.35337,0.17014,1.90569,3.55549,1.64927,0.0293679,0.00978929,0.0293679,0.00978929,0.0293679,0.00978929,0.0293679,0.00978929
4,302.075,1.7078,1.85537,1.4307,0.46671,0.5065,0.43502,0.22721,1.72124,1.93859,1.48354,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,380.964,1.6633,1.69634,1.40956,0.51168,0.49448,0.47652,0.24814,1.72501,2.63062,1.50537,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,457.895,1.62397,1.58225,1.37244,0.54616,0.52562,0.53337,0.27665,1.69703,1.86393,1.50227,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,535.441,1.5994,1.51418,1.3509,0.63828,0.63601,0.63745,0.34354,1.57247,1.43414,1.38812,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,613.341,1.57804,1.46698,1.33945,0.6468,0.63669,0.65077,0.32824,1.65222,1.41322,1.43882,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,689.882,1.54952,1.40586,1.32053,0.64846,0.6357,0.66734,0.36056,1.55285,1.33906,1.3464,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,767.601,1.52921,1.3745,1.31188,0.67304,0.6523,0.68119,0.37169,1.54379,1.3322,1.36772,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,845.353,1.51637,1.33207,1.28912,0.71282,0.67012,0.72224,0.39764,1.51658,1.24073,1.33084,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,923.319,1.51433,1.31965,1.29067,0.69344,0.65469,0.70591,0.39105,1.5391,1.27191,1.34127,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1000.39,1.49634,1.28529,1.27653,0.69006,0.65481,0.69777,0.37396,1.55912,1.29878,1.34969,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1076.6,1.48449,1.27619,1.27679,0.67016,0.66786,0.69483,0.37401,1.56299,1.2514,1.34624,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,1127.41,1.48641,1.2684,1.27019,0.69233,0.67629,0.73141,0.40034,1.50165,1.22634,1.31386,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,1178.68,1.48117,1.2431,1.2656,0.74319,0.69625,0.76167,0.41893,1.49266,1.16694,1.29925,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,1230.41,1.46842,1.23175,1.25785,0.67806,0.7113,0.73171,0.4059,1.50666,1.18394,1.30217,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,1281.89,1.45545,1.20584,1.25598,0.75924,0.70146,0.76889,0.42361,1.51323,1.10008,1.30309,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,1332.98,1.45019,1.18951,1.24905,0.74035,0.72132,0.75718,0.42189,1.51297,1.17839,1.31289,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,1384.75,1.43584,1.18701,1.24798,0.74518,0.71686,0.76198,0.43136,1.48414,1.11457,1.28086,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,1459.21,1.44849,1.18341,1.24735,0.72905,0.69903,0.75343,0.42193,1.50655,1.15984,1.30972,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,1536.29,1.43121,1.15891,1.23875,0.76088,0.70874,0.77172,0.4347,1.46796,1.11586,1.28695,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,1613.06,1.41654,1.14197,1.22884,0.75808,0.73105,0.78177,0.43994,1.48868,1.0625,1.28595,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,1690.41,1.42211,1.12383,1.22507,0.75564,0.74506,0.79342,0.44909,1.4573,1.04806,1.27091,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,1770.05,1.42271,1.14234,1.22908,0.76487,0.74295,0.79506,0.45621,1.45718,1.0371,1.26306,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,1848.54,1.41025,1.10661,1.22237,0.75651,0.74758,0.79796,0.45386,1.44582,1.03244,1.26623,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,1927.74,1.40782,1.09959,1.22493,0.77022,0.74408,0.80442,0.45882,1.44819,1.01456,1.25378,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,2005.86,1.39885,1.09807,1.21739,0.78306,0.74224,0.80949,0.46066,1.44949,1.02745,1.25642,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,2085.4,1.40847,1.09534,1.21667,0.77715,0.73682,0.79824,0.45611,1.43904,1.03408,1.25129,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,2165.05,1.39284,1.08367,1.21197,0.76193,0.74719,0.79152,0.45187,1.45935,1.01802,1.26362,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,2243.89,1.38358,1.07557,1.21022,0.7681,0.73995,0.79525,0.4558,1.45412,1.03938,1.26386,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,2323.25,1.39195,1.05865,1.20551,0.77177,0.76198,0.80948,0.46131,1.44599,0.9992,1.25487,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,2402.78,1.37781,1.0597,1.20479,0.79431,0.74642,0.80739,0.46622,1.42947,0.98251,1.25242,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,2482.11,1.37087,1.0455,1.19962,0.7886,0.76494,0.81542,0.46704,1.43522,0.98614,1.24713,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,2559.89,1.36318,1.03107,1.19342,0.78847,0.76493,0.81301,0.47192,1.43205,0.96894,1.242,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,2639.81,1.36778,1.03066,1.19554,0.79638,0.76584,0.82203,0.47241,1.4297,0.95279,1.24666,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,2718.77,1.36835,1.02929,1.19489,0.78155,0.77498,0.81874,0.47525,1.42625,0.95245,1.24346,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,2798.49,1.36021,1.02158,1.19754,0.78526,0.78452,0.82255,0.4752,1.43107,0.95243,1.24904,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,2878.11,1.35898,1.00278,1.18439,0.80308,0.7683,0.82066,0.47669,1.43031,0.95406,1.24271,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,2957.78,1.35031,0.99946,1.18762,0.78675,0.77931,0.826,0.48199,1.42809,0.93842,1.24647,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,3037.67,1.35385,1.00003,1.18642,0.79803,0.77771,0.82994,0.48834,1.41103,0.93639,1.23186,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,3117.03,1.34205,0.98063,1.17796,0.78322,0.79055,0.82539,0.48538,1.40608,0.94402,1.23401,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,3197.03,1.34904,0.99027,1.18208,0.80312,0.77915,0.82917,0.48258,1.42417,0.93414,1.23512,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,3277.11,1.34115,0.9755,1.17309,0.79027,0.78799,0.826,0.48129,1.4161,0.94125,1.23346,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
