epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,65.863,1.73146,3.49223,1.46455,0.32421,0.39798,0.3315,0.17172,1.7269,2.95283,1.47158,0.00996109,0.00332036,0.00996109,0.00332036,0.00996109,0.00332036,0.00996109,0.00332036
2,139.129,1.61999,2.24176,1.35973,0.50004,0.47596,0.46797,0.23372,1.7014,2.40111,1.48139,0.0197635,0.00658782,0.0197635,0.00658782,0.0197635,0.00658782,0.0197635,0.00658782
3,193.476,1.65873,1.96872,1.38916,0.36957,0.31798,0.28743,0.13509,2.07423,3.68447,1.82404,0.0293679,0.00978929,0.0293679,0.00978929,0.0293679,0.00978929,0.0293679,0.00978929
4,245.589,1.70258,1.85614,1.42545,0.52943,0.47858,0.47119,0.23175,1.80614,1.95486,1.58021,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,297.651,1.66297,1.71038,1.40663,0.56594,0.49745,0.5209,0.27273,1.6505,1.79587,1.45348,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,349.323,1.62391,1.58261,1.37216,0.58518,0.55562,0.57994,0.30423,1.64954,1.61673,1.44167,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,400.638,1.58196,1.51917,1.34829,0.60663,0.58856,0.61315,0.32074,1.60928,1.48881,1.43906,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,452.847,1.57395,1.47741,1.34232,0.67113,0.59948,0.63942,0.33058,1.62281,1.46451,1.42729,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,514.343,1.53817,1.41078,1.31174,0.67456,0.65208,0.67392,0.35482,1.58675,1.29472,1.34258,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,589.593,1.52106,1.38959,1.30623,0.71161,0.64437,0.69238,0.37047,1.59014,1.29599,1.38016,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,666.045,1.52329,1.333,1.29839,0.70043,0.66905,0.70111,0.38028,1.52639,1.26018,1.3464,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,741.762,1.50973,1.32017,1.28902,0.70022,0.65617,0.69852,0.38703,1.54325,1.2521,1.32405,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,817.899,1.49165,1.28526,1.27434,0.73204,0.67504,0.73292,0.38396,1.59992,1.20127,1.34691,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,893.235,1.49746,1.28677,1.2851,0.69022,0.69507,0.72142,0.39321,1.52699,1.20268,1.32785,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,969.779,1.48445,1.27464,1.27364,0.7155,0.71106,0.747,0.40287,1.54511,1.17075,1.33913,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,1045.39,1.47379,1.23945,1.2624,0.71754,0.7052,0.73853,0.41311,1.49435,1.17217,1.30054,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,1120.81,1.46029,1.22287,1.25052,0.72205,0.7045,0.74285,0.40271,1.54408,1.1342,1.31552,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,1196.06,1.45514,1.2071,1.25367,0.75126,0.71004,0.76465,0.43458,1.45708,1.10332,1.27982,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,1271.66,1.45143,1.19291,1.24966,0.71585,0.71073,0.7539,0.42077,1.49982,1.14935,1.2912,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,1346.1,1.43675,1.17905,1.24281,0.75081,0.71174,0.77834,0.44517,1.45278,1.08774,1.27213,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,1422.29,1.42606,1.16157,1.2416,0.75947,0.71414,0.77446,0.44072,1.48257,1.08503,1.29367,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,1484.76,1.4335,1.1633,1.23844,0.74149,0.72911,0.77312,0.43809,1.47547,1.07789,1.28748,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,1536.35,1.41305,1.12638,1.22358,0.75784,0.7319,0.78609,0.44704,1.47358,1.05986,1.2677,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,1588.74,1.42549,1.12473,1.22748,0.77982,0.74513,0.78902,0.44792,1.47091,1.03575,1.26831,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,1649.03,1.42468,1.12941,1.23021,0.77433,0.73426,0.79092,0.45156,1.44571,1.04821,1.25866,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,1724.34,1.41602,1.11198,1.22365,0.77912,0.73216,0.79104,0.45242,1.4589,1.01894,1.26268,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,1801.89,1.40044,1.10576,1.21805,0.75561,0.74896,0.7915,0.4521,1.46852,1.03554,1.25968,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,1864.37,1.40462,1.11065,1.21922,0.78268,0.72957,0.78527,0.44957,1.45738,1.04059,1.26946,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,1914.68,1.38733,1.07743,1.21005,0.77641,0.73773,0.79703,0.46594,1.42558,1.01915,1.25567,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,1970.54,1.3893,1.08681,1.21193,0.74748,0.75307,0.79668,0.45923,1.43984,1.03574,1.25483,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,2046.22,1.39137,1.07035,1.21377,0.7819,0.75516,0.79929,0.46108,1.44809,0.99536,1.25694,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,2124.49,1.37539,1.05572,1.20425,0.78018,0.75896,0.80889,0.46484,1.44981,0.99137,1.25706,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,2202.15,1.37718,1.0534,1.20386,0.78143,0.76922,0.8177,0.47242,1.45105,0.96803,1.24423,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,2278.76,1.37507,1.0427,1.19917,0.79488,0.77051,0.82739,0.47904,1.44221,0.96057,1.25374,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,2356.9,1.3614,1.03093,1.19485,0.79262,0.75791,0.82249,0.47158,1.43533,0.95843,1.2521,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,2435.12,1.37829,1.03701,1.19852,0.79763,0.75524,0.81788,0.47016,1.43781,0.95966,1.24678,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,2512.9,1.37027,1.03866,1.19744,0.78929,0.75579,0.81221,0.47417,1.42749,0.95687,1.23812,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,2590.48,1.35354,1.02084,1.19314,0.79287,0.77017,0.82367,0.47295,1.42842,0.9508,1.23845,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,2668.76,1.35115,1.01316,1.1827,0.78824,0.76237,0.8179,0.47637,1.42626,0.96295,1.24341,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,2747.28,1.34914,1.00604,1.18505,0.82172,0.76789,0.8366,0.4864,1.4152,0.92566,1.23201,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,2824.87,1.35215,0.99832,1.18261,0.79421,0.77796,0.83014,0.48452,1.41798,0.92931,1.22977,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,2903.25,1.34422,0.98927,1.17653,0.80706,0.7684,0.83121,0.48261,1.44312,0.93209,1.24496,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,2973.03,1.33523,0.99121,1.1806,0.80172,0.78197,0.83462,0.48618,1.44095,0.92448,1.23875,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,3051.31,1.34718,1.00182,1.18288,0.788,0.7774,0.82475,0.48386,1.41612,0.93353,1.23076,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,3130.48,1.33623,0.97856,1.1724,0.79745,0.78074,0.83088,0.49142,1.41079,0.91653,1.23056,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,3209.24,1.34099,0.97086,1.17582,0.80784,0.77667,0.83251,0.48656,1.418,0.92067,1.22968,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,3287.38,1.33378,0.96236,1.17527,0.80359,0.78355,0.83407,0.49297,1.41882,0.91693,1.22939,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,3364.29,1.33161,0.95928,1.17217,0.79387,0.78556,0.83297,0.49169,1.41544,0.91447,1.22898,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,3441.01,1.32445,0.93936,1.16979,0.80202,0.78931,0.83379,0.4962,1.40745,0.90521,1.22562,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,3516.51,1.31394,0.93683,1.16262,0.80067,0.79715,0.83886,0.49599,1.40694,0.89324,1.22611,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,3594.31,1.32164,0.92869,1.16222,0.80654,0.79504,0.84121,0.49352,1.42812,0.88707,1.23211,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,3671.22,1.31108,0.94016,1.16218,0.80439,0.7837,0.83313,0.49197,1.40891,0.89743,1.22421,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,3749.22,1.30961,0.9279,1.16193,0.80345,0.79589,0.83981,0.49504,1.41104,0.88888,1.22408,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,3807.78,1.31078,0.9291,1.16327,0.81217,0.79706,0.84377,0.50046,1.40936,0.88218,1.22435,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,3860.57,1.30043,0.9197,1.15326,0.82466,0.78322,0.84061,0.49923,1.4053,0.87929,1.21893,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,3913.13,1.29595,0.90046,1.15329,0.81811,0.78816,0.83977,0.49856,1.40468,0.88413,1.21956,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,3966.09,1.29315,0.90113,1.1491,0.8177,0.78723,0.84011,0.49618,1.40487,0.88055,1.21969,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,4038.46,1.29405,0.91538,1.15634,0.81423,0.79499,0.84499,0.49844,1.4072,0.87593,1.21887,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,4113.78,1.29993,0.9009,1.15009,0.7988,0.80045,0.84353,0.49916,1.40322,0.87451,1.21815,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,4190.44,1.2802,0.88817,1.14563,0.79243,0.80247,0.83984,0.49522,1.40667,0.86709,1.2179,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,4266.76,1.28278,0.88891,1.14931,0.81572,0.79049,0.84553,0.49849,1.40708,0.8759,1.22254,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,4346.23,1.28256,0.87861,1.14347,0.79766,0.80867,0.84548,0.50259,1.39381,0.85936,1.21358,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,4426.12,1.27923,0.88477,1.14531,0.80117,0.80288,0.8428,0.49891,1.39829,0.85469,1.21978,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,4503.43,1.27484,0.87971,1.14342,0.81552,0.79832,0.84157,0.49748,1.40474,0.86563,1.21953,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,4582.93,1.26793,0.8624,1.13728,0.81388,0.79997,0.84232,0.50223,1.39727,0.85747,1.21416,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,4662.87,1.28291,0.87055,1.14522,0.81068,0.80091,0.8407,0.49858,1.39903,0.86633,1.21723,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,4742.41,1.27829,0.87018,1.14121,0.8127,0.79715,0.84575,0.50245,1.39888,0.85866,1.2153,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,4821.67,1.25812,0.84731,1.13735,0.81454,0.80186,0.84592,0.50245,1.40718,0.85628,1.22146,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,4901.5,1.25439,0.84075,1.12837,0.81642,0.79901,0.84653,0.50289,1.40871,0.85114,1.21817,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,4982.23,1.25921,0.84689,1.13418,0.82254,0.79232,0.8454,0.50043,1.40898,0.85998,1.21916,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,5062.38,1.25054,0.83944,1.13196,0.81903,0.78589,0.84333,0.50184,1.40707,0.85788,1.22016,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,5142.1,1.2483,0.83534,1.12816,0.81183,0.80086,0.84496,0.50407,1.4057,0.86189,1.22249,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,5220.26,1.23799,0.82627,1.12605,0.82027,0.80031,0.84482,0.50302,1.40348,0.85176,1.22205,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,5297.17,1.22818,0.81045,1.12124,0.81988,0.79518,0.8415,0.50121,1.4099,0.86166,1.22543,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,5375.12,1.24497,0.81728,1.12846,0.81363,0.79564,0.83929,0.50151,1.40763,0.86679,1.22314,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,5436.18,1.22538,0.81382,1.12193,0.8099,0.79338,0.83883,0.49909,1.40191,0.86452,1.22028,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,5489.85,1.23589,0.81941,1.12282,0.81346,0.79432,0.8406,0.50028,1.40558,0.85664,1.22249,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,5543.59,1.22633,0.80438,1.1196,0.81711,0.79304,0.84151,0.50224,1.40742,0.85402,1.22241,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,5599.52,1.22487,0.80036,1.11366,0.81408,0.79501,0.84005,0.50051,1.40552,0.85331,1.22125,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,5652.48,1.22269,0.79823,1.11255,0.81034,0.79931,0.839,0.5011,1.40552,0.85668,1.22004,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,5705.44,1.21326,0.79225,1.10975,0.81148,0.79966,0.83917,0.50222,1.4018,0.8506,1.21629,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,5769.96,1.21362,0.78691,1.11486,0.81213,0.79919,0.83777,0.50383,1.39999,0.85264,1.21738,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,5848.18,1.20542,0.77555,1.10916,0.81122,0.79962,0.83931,0.50338,1.40264,0.8553,1.22014,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,5928.08,1.19994,0.77093,1.10719,0.8192,0.79128,0.83927,0.5021,1.40672,0.85448,1.21999,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,6007.15,1.20576,0.77364,1.10567,0.82117,0.7909,0.83925,0.50186,1.40829,0.85194,1.22028,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,6083.5,1.19065,0.76678,1.101,0.81833,0.79391,0.84123,0.50309,1.40593,0.84875,1.21887,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,6161,1.19116,0.75863,1.09874,0.82065,0.79402,0.84167,0.50344,1.40608,0.84636,1.21975,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,6238.04,1.18973,0.76519,1.09953,0.8117,0.79509,0.84022,0.50262,1.40465,0.84526,1.2201,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,6312.06,1.1925,0.76093,1.10178,0.81016,0.79697,0.83742,0.50247,1.40333,0.84709,1.2183,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,6364.87,1.17694,0.74899,1.09615,0.81404,0.79212,0.83861,0.50313,1.40349,0.8473,1.21862,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,6435.05,1.1784,0.64913,1.10496,0.81138,0.79463,0.83694,0.5027,1.40288,0.8474,1.21932,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,6499.52,1.16447,0.6403,1.10118,0.81004,0.80093,0.83843,0.50297,1.40247,0.84631,1.22001,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,6566.17,1.15277,0.62744,1.09491,0.81222,0.80148,0.83738,0.50145,1.4071,0.85008,1.22245,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
