epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,48.6018,1.74527,3.52518,1.4686,0.42545,0.40474,0.35859,0.17651,1.74991,2.99886,1.50051,0.00996109,0.00332036,0.00996109,0.00332036,0.00996109,0.00332036,0.00996109,0.00332036
2,96.1847,1.61413,2.23585,1.36181,0.5505,0.51066,0.52313,0.25904,1.70654,2.0319,1.42067,0.0197635,0.00658782,0.0197635,0.00658782,0.0197635,0.00658782,0.0197635,0.00658782
3,142.715,1.67275,1.96154,1.38621,0.49746,0.41938,0.39536,0.19447,1.86187,2.87334,1.67267,0.0293679,0.00978929,0.0293679,0.00978929,0.0293679,0.00978929,0.0293679,0.00978929
4,189.007,1.71135,1.85482,1.43476,0.37628,0.24502,0.22413,0.11686,1.9672,3.69352,1.75686,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,234.551,1.66129,1.69606,1.40874,0.54606,0.52052,0.51567,0.26359,1.72365,1.92388,1.48633,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,278.263,1.6344,1.59505,1.37882,0.60278,0.54105,0.57265,0.28902,1.72444,1.62321,1.5326,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,323.097,1.60967,1.51692,1.36241,0.60586,0.55812,0.57102,0.29028,1.70126,1.701,1.51532,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,367.497,1.58567,1.47131,1.34202,0.66329,0.62342,0.64704,0.32786,1.66422,1.41577,1.4206,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,411.999,1.55106,1.40428,1.31491,0.67802,0.64322,0.67992,0.36829,1.57,1.35609,1.3681,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,456.65,1.52954,1.37665,1.30797,0.62391,0.54884,0.58195,0.31007,1.63886,1.60701,1.45916,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,500.521,1.51812,1.33784,1.28989,0.67572,0.65845,0.68904,0.37601,1.53928,1.29273,1.35226,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,545.054,1.51482,1.31819,1.28792,0.68016,0.64611,0.6915,0.37864,1.54751,1.30471,1.34938,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,589.197,1.49989,1.28346,1.27824,0.72086,0.66646,0.72384,0.38272,1.57233,1.22312,1.36216,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,633.176,1.48343,1.28568,1.27853,0.69715,0.66744,0.71243,0.38559,1.54627,1.24452,1.33196,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,684.716,1.48588,1.26883,1.27152,0.70532,0.68757,0.74375,0.40312,1.53425,1.19677,1.34062,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,736.528,1.48316,1.24419,1.26993,0.72157,0.69482,0.74285,0.40665,1.50868,1.18523,1.30807,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,788.241,1.47214,1.23277,1.26109,0.72628,0.71896,0.76199,0.42417,1.50166,1.13903,1.3107,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,837.931,1.45185,1.20761,1.25216,0.70796,0.70574,0.73707,0.41181,1.50647,1.16439,1.32769,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,889.439,1.44956,1.19455,1.253,0.76417,0.70719,0.76588,0.43411,1.47601,1.13155,1.30293,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,933.932,1.43859,1.19479,1.24658,0.75745,0.70303,0.75333,0.4269,1.47042,1.09987,1.29168,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,978.634,1.44948,1.1839,1.25082,0.71937,0.72116,0.75909,0.42782,1.48706,1.12467,1.29185,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,1023.56,1.43001,1.15843,1.23777,0.76377,0.71952,0.77257,0.4283,1.49882,1.1029,1.29999,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,1073.14,1.41444,1.14226,1.23189,0.76525,0.73387,0.78788,0.44546,1.46193,1.05064,1.26901,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,1114.97,1.42163,1.12469,1.22371,0.74869,0.73882,0.77927,0.44293,1.4708,1.04892,1.27031,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,1157.18,1.41983,1.14174,1.22854,0.77306,0.73601,0.78532,0.44388,1.43633,1.06891,1.2536,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,1199.23,1.41238,1.11102,1.22321,0.76066,0.73026,0.78738,0.4466,1.4546,1.05192,1.25964,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,1240.83,1.40337,1.09829,1.22134,0.7759,0.74422,0.79821,0.45968,1.43063,1.04324,1.24977,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,1282.48,1.40033,1.09928,1.21895,0.77791,0.74062,0.80532,0.46196,1.43817,1.02379,1.26283,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,1324.32,1.40667,1.09294,1.21635,0.74818,0.73609,0.78192,0.45324,1.43207,1.04557,1.26228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,1366.78,1.39487,1.08573,1.21472,0.77761,0.74893,0.80421,0.46014,1.4435,0.99639,1.25615,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
