epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,53.583,1.72978,3.49334,1.46146,0.37051,0.31586,0.2816,0.14909,1.74733,3.22383,1.56854,0.00996109,0.00332036,0.00996109,0.00332036,0.00996109,0.00332036,0.00996109,0.00332036
2,105.915,1.62415,2.25483,1.37134,0.52202,0.48786,0.48125,0.25156,1.63098,2.23284,1.4275,0.0197635,0.00658782,0.0197635,0.00658782,0.0197635,0.00658782,0.0197635,0.00658782
3,158.458,1.66563,1.99126,1.40161,0.41595,0.4303,0.3903,0.19185,1.77965,2.95828,1.59421,0.0293679,0.00978929,0.0293679,0.00978929,0.0293679,0.00978929,0.0293679,0.00978929
4,209.817,1.70112,1.84732,1.42447,0.42004,0.41973,0.33137,0.1706,1.76885,2.93957,1.63073,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,261.323,1.6576,1.68918,1.39986,0.54119,0.52251,0.50393,0.26039,1.71271,1.68799,1.50198,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,312.351,1.62583,1.58328,1.37763,0.63724,0.56571,0.60599,0.31633,1.64695,1.57735,1.44338,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,363.31,1.57827,1.51046,1.34508,0.61952,0.6093,0.6217,0.32383,1.61858,1.48088,1.4331,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,417.616,1.57906,1.47757,1.34267,0.66958,0.59998,0.63828,0.32823,1.63668,1.4319,1.43383,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,468.89,1.54052,1.41521,1.31677,0.68545,0.61908,0.66949,0.35227,1.60696,1.34967,1.37154,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,520.74,1.52425,1.38487,1.30457,0.65826,0.63935,0.65309,0.35275,1.585,1.38797,1.36202,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,571.795,1.52595,1.33341,1.29924,0.65393,0.61474,0.62635,0.34264,1.58231,1.41726,1.41645,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,622.899,1.50785,1.32192,1.29006,0.67116,0.65404,0.6865,0.37879,1.52262,1.29979,1.33914,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,673.496,1.49719,1.29466,1.28265,0.67403,0.6582,0.69198,0.36182,1.63235,1.33518,1.38627,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,724.313,1.50008,1.29336,1.28654,0.68416,0.68684,0.72628,0.4028,1.48985,1.19866,1.31643,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,775.767,1.4811,1.26415,1.27203,0.72687,0.69819,0.74742,0.40429,1.53209,1.17908,1.33106,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,827.176,1.4726,1.23827,1.26969,0.68317,0.64983,0.68472,0.37148,1.56362,1.29326,1.34135,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,878.354,1.46308,1.21642,1.25494,0.73685,0.69279,0.74061,0.41106,1.51724,1.16737,1.31562,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,928.754,1.44974,1.20608,1.25542,0.71463,0.70557,0.74446,0.42548,1.47133,1.1475,1.30812,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,982.987,1.44898,1.1937,1.2528,0.64766,0.65665,0.6767,0.36766,1.56372,1.30349,1.37334,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,1034.31,1.44063,1.18036,1.24979,0.74341,0.72311,0.77315,0.43716,1.4584,1.09433,1.27959,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,1085.59,1.43196,1.16371,1.24543,0.77597,0.71366,0.78942,0.4485,1.46118,1.06369,1.28739,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,1136.05,1.43531,1.16346,1.24175,0.73528,0.73797,0.7794,0.44308,1.47681,1.06432,1.28892,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,1187.14,1.41418,1.13496,1.22438,0.74886,0.71276,0.76664,0.4368,1.47458,1.07883,1.29093,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,1238.35,1.42276,1.11768,1.22823,0.76696,0.71727,0.77991,0.4388,1.49107,1.06679,1.29369,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,1290.07,1.4286,1.13169,1.2327,0.75914,0.71729,0.76185,0.43386,1.45799,1.08334,1.28336,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,1341.48,1.41204,1.12507,1.22729,0.75703,0.75038,0.79534,0.45421,1.45455,1.02907,1.27154,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,1392.81,1.40255,1.10764,1.22319,0.75139,0.74515,0.78814,0.44931,1.47764,1.03875,1.27099,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,1444.84,1.40509,1.10263,1.22384,0.77325,0.74359,0.79598,0.45883,1.46195,1.02525,1.27902,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,1496.03,1.38336,1.0803,1.21325,0.77565,0.74056,0.79873,0.46713,1.41543,1.01692,1.25158,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,1549.72,1.38956,1.08832,1.21409,0.76234,0.76145,0.80338,0.46465,1.42838,1.00748,1.2486,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,1602.22,1.38997,1.07292,1.21395,0.77835,0.76357,0.80889,0.46735,1.44196,1.0047,1.25748,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,1659.11,1.37839,1.05881,1.20696,0.79474,0.75238,0.81337,0.46504,1.45947,1.00103,1.25538,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,1710.63,1.37444,1.05742,1.20578,0.77667,0.76234,0.8093,0.47002,1.43735,0.99342,1.24768,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,1762.09,1.37491,1.04185,1.20393,0.79574,0.76099,0.82184,0.47622,1.42888,0.96217,1.25216,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,1813.33,1.36313,1.02885,1.19575,0.77585,0.76382,0.81791,0.47385,1.44287,0.9649,1.2485,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,1864.45,1.37836,1.03375,1.20156,0.79128,0.76377,0.82345,0.47566,1.43998,0.9526,1.24791,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,1915.76,1.37181,1.04779,1.20222,0.78118,0.75883,0.81587,0.47553,1.42251,0.96646,1.24976,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,1967.05,1.35532,1.02269,1.19443,0.79252,0.76736,0.82456,0.47353,1.44335,0.9443,1.24215,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,2017.51,1.35184,1.01545,1.18566,0.78974,0.76897,0.8168,0.47228,1.42969,0.95537,1.24908,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,2067.51,1.3536,1.0042,1.18982,0.80399,0.76305,0.8292,0.47906,1.43484,0.93148,1.24649,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,2119.21,1.35649,0.99748,1.18596,0.78514,0.76687,0.82695,0.48012,1.43255,0.94457,1.24266,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,2170.39,1.34427,0.99225,1.18254,0.79701,0.76058,0.82658,0.47634,1.4501,0.9389,1.24976,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,2221.39,1.33612,0.99348,1.18558,0.81213,0.76361,0.82906,0.48334,1.44216,0.93096,1.24295,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,2270.17,1.34616,0.99619,1.18562,0.79665,0.77711,0.82629,0.48374,1.42792,0.94163,1.24676,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,2316.88,1.33895,0.97949,1.17673,0.80461,0.76764,0.82589,0.48257,1.41572,0.93207,1.23664,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,2366.82,1.33759,0.97535,1.17794,0.81147,0.77034,0.82972,0.48884,1.40342,0.91959,1.22748,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,2417.81,1.33278,0.96396,1.17976,0.79834,0.77034,0.82795,0.49073,1.41309,0.91426,1.23674,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,2468.64,1.33393,0.96595,1.17732,0.81193,0.77135,0.82909,0.48614,1.42652,0.91605,1.24075,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,2519.35,1.32222,0.94085,1.169,0.81403,0.77587,0.83344,0.49573,1.40175,0.9001,1.22366,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,2570.27,1.31269,0.93764,1.16318,0.81562,0.76967,0.83032,0.48626,1.42573,0.90135,1.22823,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,2620.46,1.32306,0.93179,1.16616,0.81318,0.77059,0.83214,0.48859,1.41566,0.90921,1.22712,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,2672.6,1.31773,0.94615,1.1663,0.81178,0.77728,0.83377,0.49158,1.41084,0.90648,1.22681,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,2723.15,1.30873,0.92764,1.16577,0.82092,0.78019,0.83844,0.49346,1.40856,0.89495,1.22403,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,2773.74,1.31108,0.93561,1.16321,0.8182,0.78189,0.84011,0.49703,1.40842,0.89013,1.21851,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,2824.16,1.30117,0.918,1.15449,0.82095,0.78222,0.83562,0.49573,1.40715,0.8925,1.22129,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,2874.21,1.29636,0.9039,1.15779,0.81971,0.77696,0.84404,0.50088,1.39747,0.88574,1.22271,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,2925.74,1.29346,0.90114,1.15163,0.82401,0.78123,0.84043,0.49379,1.41538,0.88081,1.22791,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,2978.59,1.29601,0.91863,1.1628,0.81512,0.7883,0.83915,0.49609,1.40868,0.87079,1.22442,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,3029.38,1.30058,0.90453,1.15078,0.81607,0.79302,0.84273,0.49885,1.40425,0.88014,1.21836,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
