method,lower_inclusive,upper,upper_inclusive,count,mean_confidence,correctness_rate
Raw,0.0,0.1,False,11290,0.030534788815138006,0.018069087688219663
Raw,0.1,0.2,False,1369,0.14136222958390604,0.08911614317019723
Raw,0.2,0.3,False,695,0.24795334782960604,0.20863309352517986
Raw,0.3,0.4,False,530,0.3470086300710462,0.2962264150943396
Raw,0.4,0.5,False,528,0.44990705670506664,0.49242424242424243
Raw,0.5,0.6,False,667,0.5521643166241796,0.6941529235382309
Raw,0.6,0.7,False,840,0.6501271084660576,0.819047619047619
Raw,0.7,0.8,False,884,0.750724498570235,0.8789592760180995
Raw,0.8,0.9,False,927,0.8572696031361593,0.9460625674217907
Raw,0.9,1.0,True,110,0.9158078188245947,1.0
Beta,0.0,0.1,False,11990,0.023309213324575376,0.021684737281067557
Beta,0.1,0.2,False,960,0.14116456466068816,0.128125
Beta,0.2,0.3,False,522,0.24646880041251223,0.2260536398467433
Beta,0.3,0.4,False,377,0.34787376276169785,0.3103448275862069
Beta,0.4,0.5,False,325,0.4517248060647811,0.42153846153846153
Beta,0.5,0.6,False,362,0.5532986311924817,0.5883977900552486
Beta,0.6,0.7,False,405,0.6531760855605935,0.6962962962962963
Beta,0.7,0.8,False,578,0.7517140632850725,0.7750865051903114
Beta,0.8,0.9,False,764,0.8526927962644134,0.8507853403141361
Beta,0.9,1.0,True,1557,0.9581136261750037,0.9344894026974951
