class_id,method,prediction_count,correct,incorrect,auroc,status
0,calibrated_confidence_risk,182,69,113,0.9856355008336539,defined
0,class_consistency_risk,182,69,113,0.7550339874310632,defined
0,localisation_risk,182,69,113,0.9257406694882647,defined
0,trustpcb_risk,182,69,113,0.9935872771578812,defined
1,calibrated_confidence_risk,1474,353,1121,0.9447604703408784,defined
1,class_consistency_risk,1474,353,1121,0.7207698508767718,defined
1,localisation_risk,1474,353,1121,0.8886617321139311,defined
1,trustpcb_risk,1474,353,1121,0.9460619186127319,defined
2,calibrated_confidence_risk,360,121,239,0.9591963760849269,defined
2,class_consistency_risk,360,121,239,0.7630277672118676,defined
2,localisation_risk,360,121,239,0.8958816003319617,defined
2,trustpcb_risk,360,121,239,0.9611328192537778,defined
3,calibrated_confidence_risk,636,140,496,0.9667914746543779,defined
3,class_consistency_risk,636,140,496,0.6855054723502304,defined
3,localisation_risk,636,140,496,0.912514400921659,defined
3,trustpcb_risk,636,140,496,0.9612039170506912,defined
4,calibrated_confidence_risk,980,180,800,0.9651736111111111,defined
4,class_consistency_risk,980,180,800,0.7605763888888889,defined
4,localisation_risk,980,180,800,0.9029236111111111,defined
4,trustpcb_risk,980,180,800,0.958625,defined
5,calibrated_confidence_risk,568,225,343,0.9782572076449627,defined
5,class_consistency_risk,568,225,343,0.8711435050210561,defined
5,localisation_risk,568,225,343,0.9370391966310334,defined
5,trustpcb_risk,568,225,343,0.9845157110463233,defined
6,calibrated_confidence_risk,1810,177,1633,0.9235402589943987,defined
6,class_consistency_risk,1810,177,1633,0.5993232793963487,defined
6,localisation_risk,1810,177,1633,0.754962098802592,defined
6,trustpcb_risk,1810,177,1633,0.8939631401773451,defined
7,calibrated_confidence_risk,657,126,531,0.9128329297820823,defined
7,class_consistency_risk,657,126,531,0.6132409649358802,defined
7,localisation_risk,657,126,531,0.7920664813320181,defined
7,trustpcb_risk,657,126,531,0.8969898065943264,defined
8,calibrated_confidence_risk,464,122,342,0.9438692359313584,defined
8,class_consistency_risk,464,122,342,0.7300834052343975,defined
8,localisation_risk,464,122,342,0.8746524781900106,defined
8,trustpcb_risk,464,122,342,0.9357683827053974,defined
